ID,Name,Type,Category,Power,Accuracy,PP,Priority,Crit,MoveType
1,Aqua Jet,Water,Physical,40,100,20,1,0,Normal
2,Aqua Tail,Water,Physical,90,90,10,0,0,Normal
3,Waterfall,Water,Physical,80,100,15,0,0,Normal
4,Crabhammer,Water,Physical,100,90,10,0,1,Normal
5,Fire Punch,Fire,Physical,75,100,15,0,0,Normal
6,Blaze Kick,Fire,Physical,85,90,10,0,0,Normal
7,Flare Blitz,Fire,Physical,120,100,15,0,0,Normal
8,Leaf Blade,Grass,Physical,90,100,15,0,1,Normal
9,Wood Hammer,Grass,Physical,120,100,15,0,0,Normal
10,Seed Bomb,Grass,Physical,80,100,15,0,0,Normal
11,Thunder Punch,Electric,Physical,75,100,15,0,0,Normal
12,Wild Charge,Electric,Physical,90,100,15,0,0,Normal
13,Close Combat,Fighting,Physical,120,100,5,0,0,Normal
14,Brick Break,Fighting,Physical,75,100,15,0,0,Normal
15,Drain Punch,Fighting,Physical,75,100,10,0,0,Normal
16,Mach Punch,Fighting,Physical,40,100,30,1,0,Normal
17,Cross Chop,Fighting,Physical,100,80,5,0,0,Normal
18,Superpower,Fighting,Physical,120,100,5,0,0,Normal
19,Low Sweep,Fighting,Physical,65,100,20,0,0,Normal
20,Iron Tail,Steel,Physical,100,75,15,0,0,Normal
21,Iron Head,Steel,Physical,80,100,15,0,0,Normal
22,Metal Claw,Steel,Physical,50,95,35,0,0,Normal
23,Steel Wing,Steel,Physical,70,90,25,0,0,Normal
24,Dragon Claw,Dragon,Physical,80,100,15,0,0,Normal
25,Outrage,Dragon,Physical,120,100,10,0,0,Normal
26,Dragon Rush,Dragon,Physical,100,75,10,0,0,Normal
27,Dual Chop,Dragon,Physical,40,90,15,0,0,Normal
28,Earthquake,Ground,Physical,100,100,10,0,0,Normal
29,Dig,Ground,Physical,80,100,10,0,0,Normal
30,High Horsepower,Ground,Physical,95,95,10,0,0,Normal
31,Aerial Ace,Flying,Physical,60,100,20,0,0,Normal
32,Brave Bird,Flying,Physical,120,100,15,0,0,Normal
33,Acrobatics,Flying,Physical,55,100,15,0,0,Normal
34,Wing Attack,Flying,Physical,60,100,35,0,0,Normal
35,Peck,Flying,Physical,35,100,35,0,0,Normal
36,Shadow Claw,Ghost,Physical,70,100,15,0,0,Normal
37,Shadow Sneak,Ghost,Physical,40,100,30,1,0,Normal
38,Body Slam,Normal,Physical,85,100,15,0,0,Normal
39,Double-Edge,Normal,Physical,120,100,15,0,0,Normal
40,Headbutt,Normal,Physical,70,100,15,0,0,Normal
41,Quick Attack,Normal,Physical,40,100,30,1,0,Normal
42,Extreme Speed,Normal,Physical,80,100,5,1,0,Normal
43,Crunch,Dark,Physical,80,100,15,0,0,Normal
44,Bite,Dark,Physical,60,100,25,0,0,Normal
45,Knock Off,Dark,Physical,65,100,20,0,0,Normal
46,Night Slash,Dark,Physical,70,100,15,0,1,Normal
47,Ice Punch,Ice,Physical,75,100,15,0,0,Normal
48,Ice Shard,Ice,Physical,40,100,30,1,0,Normal
49,Icicle Crash,Ice,Physical,85,90,10,0,0,Normal
50,Avalanche,Ice,Physical,60,100,10,0,0,Normal
51,Stone Edge,Rock,Physical,100,80,5,0,1,Normal
52,Rock Slide,Rock,Physical,75,90,10,0,0,Normal
53,Rock Tomb,Rock,Physical,60,95,15,0,0,Normal
54,Smack Down,Rock,Physical,50,100,15,0,0,Normal
55,Accelerock,Rock,Physical,40,100,20,1,0,Normal
56,Zen Headbutt,Psychic,Physical,80,90,15,0,0,Normal
57,Psycho Cut,Psychic,Physical,70,100,20,0,1,Normal
58,Play Rough,Fairy,Physical,90,90,10,0,0,Normal
59,Fairy Wind,Fairy,Physical,40,100,30,0,0,Normal
60,Water Pulse,Water,Special,60,100,20,0,0,Normal
61,Surf,Water,Special,90,100,15,0,0,Normal
62,Scald,Water,Special,80,100,15,0,0,Normal
63,Hydro Pump,Water,Special,110,80,5,0,0,Normal
64,Water Spout,Water,Special,150,100,5,0,0,Normal
65,Origin Pulse,Water,Special,110,85,10,0,0,Normal
66,Flamethrower,Fire,Special,90,100,15,0,0,Normal
67,Fire Blast,Fire,Special,110,85,5,0,0,Normal
68,Heat Wave,Fire,Special,95,90,10,0,0,Normal
69,Overheat,Fire,Special,130,90,5,0,0,Normal
70,Blue Flare,Fire,Special,130,85,5,0,0,Normal
71,Energy Ball,Grass,Special,90,100,10,0,0,Normal
72,Giga Drain,Grass,Special,75,100,10,0,0,Normal
73,Petal Blizzard,Grass,Special,90,100,15,0,0,Normal
74,Solar Beam,Grass,Special,120,100,10,0,0,Normal
75,Leaf Storm,Grass,Special,130,90,5,0,0,Normal
76,Thunderbolt,Electric,Special,90,100,15,0,0,Normal
77,Thunder,Electric,Special,110,70,10,0,0,Normal
78,Discharge,Electric,Special,80,100,15,0,0,Normal
79,Volt Switch,Electric,Special,70,100,20,0,0,Normal
80,Charge Beam,Electric,Special,50,90,10,0,0,Normal
81,Bolt Strike,Electric,Special,130,85,5,0,0,Normal
82,Aura Sphere,Fighting,Special,80,100,20,0,0,Normal
83,Focus Blast,Fighting,Special,120,70,5,0,0,Normal
84,Vacuum Wave,Fighting,Special,40,100,30,1,0,Normal
85,Flash Cannon,Steel,Special,80,100,10,0,0,Normal
86,Mirror Shot,Steel,Special,65,85,10,0,0,Normal
87,Doom Desire,Steel,Special,140,100,5,0,0,Normal
88,Dragon Pulse,Dragon,Special,85,100,10,0,0,Normal
89,Draco Meteor,Dragon,Special,130,90,5,0,0,Normal
90,Dragon Breath,Dragon,Special,60,100,20,0,0,Normal
91,Spacial Rend,Dragon,Special,100,95,5,0,1,Normal
92,Earth Power,Ground,Special,90,100,10,0,0,Normal
93,Mud Bomb,Ground,Special,65,85,10,0,0,Normal
94,Air Slash,Flying,Special,75,95,15,0,0,Normal
95,Hurricane,Flying,Special,110,70,10,0,0,Normal
96,Aeroblast,Flying,Special,100,95,5,0,1,Normal
97,Shadow Ball,Ghost,Special,80,100,15,0,0,Normal
98,Hex,Ghost,Special,65,100,10,0,0,Normal
99,Ominous Wind,Ghost,Special,60,100,5,0,0,Normal
100,Hyper Beam,Normal,Special,150,90,5,0,0,Normal
101,Tri Attack,Normal,Special,80,100,10,0,0,Normal
102,Swift,Normal,Special,60,100,20,0,0,Normal
103,Round,Normal,Special,60,100,15,0,0,Normal
104,Boomburst,Normal,Special,140,100,10,0,0,Normal
105,Hyper Voice,Normal,Special,90,100,10,0,0,Normal
106,Dark Pulse,Dark,Special,80,100,15,0,0,Normal
107,Night Daze,Dark,Special,85,95,10,0,0,Normal
108,Snarl,Dark,Special,55,95,15,0,0,Normal
109,Foul Play,Dark,Special,95,100,15,0,0,Normal
110,Psychic,Psychic,Special,90,100,10,0,0,Normal
111,Psyshock,Psychic,Special,80,100,10,0,0,Normal
112,Future Sight,Psychic,Special,120,100,10,0,0,Normal
113,Stored Power,Psychic,Special,20,100,10,0,0,Normal
114,Luster Purge,Psychic,Special,95,100,5,0,0,Normal
115,Moonblast,Fairy,Special,95,100,15,0,0,Normal
116,Dazzling Gleam,Fairy,Special,80,100,10,0,0,Normal
117,Disarming Voice,Fairy,Special,40,100,15,0,0,Normal
118,Blizzard,Ice,Special,110,70,5,0,0,Normal
119,Ice Beam,Ice,Special,90,100,10,0,0,Normal
120,Freeze-Dry,Ice,Special,70,100,20,0,0,Normal
121,Glaciate,Ice,Special,65,95,10,0,0,Normal
122,Power Gem,Rock,Special,80,100,20,0,0,Normal
123,Ancient Power,Rock,Special,60,100,5,0,0,Normal
124,Meteor Beam,Rock,Special,120,90,10,0,0,Normal
