DexID,MoveID1,MoveID2,MoveID3,MoveID4
656,1,60,3,44
657,1,60,3,106
658,125,106,3,119
004,5,38,41,44
005,5,66,38,43
006,76,66,7,74
722,8,33,34,10
723,8,33,94,10
724,127,97,33,46
025,12,41,11,102
447,13,16,82,21
448,13,82,21,85
066,18,13,16,38
067,18,13,16,38
068,13,18,16,82
133,38,102,59,117
134,61,60,38,102
135,76,79,12,102
136,66,5,38,68
196,110,111,56,57
197,43,106,45,46
470,8,10,71,72
471,119,47,120,49
700,115,116,58,117
443,24,28,90,26
444,24,28,92,26
445,89,28,24,92
147,24,90,38,40
148,88,24,90,38
149,89,32,24,88
016,34,33,38,41
017,34,33,94,38
018,95,94,32,38
399,38,40,39,100
304,21,52,53,22
305,21,52,28,22
306,21,51,28,87
384,89,32,25,95
892,13,43,45,18
1008,76,89,85,110
